Date,Adj Close,Close,High,Low,Open,Volume
2012-04-18,96.90196990966797,130.14999389648438,130.8000030517578,130.0800018310547,130.27000427246094,5057100
2012-04-19,96.44779968261719,129.5399932861328,130.6699981689453,128.82000732421875,130.22999572753906,8957000
2012-04-20,96.88680267333984,129.97999572753906,130.52999877929688,129.89999389648438,129.9600067138672,5686800
2012-04-23,96.17127227783203,129.02000427246094,129.0800018310547,128.16000366210938,128.74000549316406,5180000
2012-04-24,96.69303894042969,129.72000122070312,130.22999572753906,129.25999450683594,129.27000427246094,4418700
2012-04-25,97.37881469726562,130.63999938964844,130.8300018310547,130.11000061035156,130.5,7342000
2012-04-26,98.28067779541016,131.85000610351562,132.02999877929688,130.49000549316406,130.55999755859375,4577100
2012-04-27,98.39250183105469,132.0,132.41000366210938,131.66000366210938,132.08999633789062,3969500
2012-04-30,98.24345397949219,131.8000030517578,132.02000427246094,131.49000549316406,131.80999755859375,3670500
2012-05-01,98.78755950927734,132.52999877929688,133.13999938964844,131.39999389648438,131.85000610351562,5453200
2012-05-02,98.69071960449219,132.39999389648438,132.50999450683594,131.64999389648438,132.0399932861328,3746000
2012-05-03,98.25091552734375,131.80999755859375,132.5800018310547,131.5,132.41000366210938,5043100
2012-05-04,96.96879577636719,130.08999633789062,131.32000732421875,129.97000122070312,131.1300048828125,5934300
2012-05-07,96.7824478149414,129.83999633789062,130.25,129.4499969482422,129.5,4040500
2012-05-08,96.21597290039062,129.0800018310547,129.3300018310547,127.91000366210938,129.1699981689453,7641700
2012-05-09,95.66439056396484,128.33999633789062,129.1199951171875,127.37999725341797,128.0,11921700
2012-05-10,95.73881530761719,128.44000244140625,129.27999877929688,128.2100067138672,128.80999755859375,5325000
2012-05-11,95.54507446289062,128.17999267578125,129.16000366210938,127.7300033569336,127.80000305175781,3673800
2012-05-14,94.6282958984375,126.94999694824219,127.69000244140625,126.5999984741211,127.18000030517578,6069000
2012-05-15,94.15119934082031,126.30999755859375,127.58999633789062,126.06999969482422,126.81999969482422,6713000
2012-05-16,94.05430603027344,126.18000030517578,127.37000274658203,126.12999725341797,126.77999877929688,6043200
2012-05-17,92.85421752929688,124.56999969482422,126.25,124.55000305175781,126.20999908447266,8985300
2012-05-18,92.2304458618164,123.30999755859375,124.6500015258789,123.08999633789062,124.52999877929688,10861600
2012-05-21,93.3523941040039,124.80999755859375,124.80999755859375,123.44000244140625,123.69000244140625,5384900
2012-05-22,93.3672866821289,124.83000183105469,125.4800033569336,124.19000244140625,124.9000015258789,9856100
2012-05-23,93.27757263183594,124.70999908447266,124.80000305175781,122.81999969482422,123.94999694824219,8600000
2012-05-24,93.58422088623047,125.12000274658203,125.16000366210938,123.95999908447266,124.91999816894531,7043000
2012-05-25,92.9409408569336,124.26000213623047,125.0999984741211,123.97000122070312,124.93000030517578,6725100
2012-05-29,93.94324493408203,125.5999984741211,125.91999816894531,124.9000015258789,125.2300033569336,6828700
2012-05-30,92.739013671875,123.98999786376953,124.61000061035156,123.73999786376953,124.52999877929688,6874300
2012-05-31,92.52213287353516,123.69999694824219,124.73999786376953,123.01000213623047,124.0199966430664,7793500
