ms,dir,tod,transc,pos,rbp,rbp_rel,vol30,dow,r15,r30,r60,r120,fwd75,fwd240,tomada
1682523000000,1,690,690,0.8240252897787084,88.30885518053495,0.6153097311082473,3.2130292516787886,2,1.1943438666439654,27.082256581014708,47.36320048393195,21.713266907106288,-5.831424226883097,-66.28592325985227,False
1682523300000,1,695,695,0.8770635756937137,88.26751288145375,0.6150216703143547,3.3212080021704513,2,0.015501870340717261,18.980765065701455,37.30432055606636,54.53677292712955,-16.50946631871264,-78.74162832478771,False
1682523600000,1,700,700,0.881717597471013,88.2638870104445,0.6149964063279609,3.4085943091255975,2,-4.406601318091008,10.350007940953532,39.239673169235715,35.39786114782339,-19.694286695954855,-76.69223410329606,False
1682523900000,1,705,705,0.8987530734106028,88.25061749471703,0.6149039483050648,3.275934570957694,2,6.599125022710428,7.794257051805253,47.574335678128854,58.92317373824119,-22.450126350735957,-80.79565665612188,False
1682524200000,1,710,710,0.8943624868282355,88.25403709134055,0.6149277750331389,3.2597065753253873,2,1.526931861401959,1.5424360987714714,34.418404779259504,41.92286737159545,-18.259936968265666,-81.34901891006186,False
1682524500000,1,715,715,0.8395679662802926,88.29673595934274,0.615225287994159,3.0966164402172014,2,-3.720290284949801,-8.125252219434165,29.636118083795626,32.5383768880605,-19.393027395636643,-73.74343657440386,False
1682524800000,1,720,720,0.917544783983146,88.23598461495509,0.6148019907687198,3.147654508415676,2,1.6583800618086286,8.258599470256645,35.363222202258186,22.51246747282387,-21.051736055394123,-80.99146006147917,False
1682525100000,1,725,725,0.9737436240488384,92.57439411920765,0.6450307326094079,2.796507631451012,2,11.314620139915021,12.843279666716612,31.84842225982143,44.88928876875909,-34.099022166995674,-82.41048580927112,False
1682525400000,1,730,730,0.9743411927877954,100.38474631425674,0.6994509342887482,2.386724868669296,2,23.911760950001693,20.182574795855057,30.553471717749137,44.71393145474734,-45.36573718085246,-87.41316212801719,False
1682525700000,1,735,735,0.9619355832948029,100.39724912465765,0.6995380501378909,2.8211040907348046,2,15.767494616387712,17.428489528066304,25.236330792610673,52.515261737602344,-43.205319491539385,-45.91290441938845,False
1682526000000,1,740,740,0.8233934350439208,100.53708868048336,0.7005124104024139,3.226761452069915,2,-7.4236009666628355,3.882619650752428,5.425654618793629,66.37003034805078,-23.56555892788048,-32.04823053406858,False
1682526300000,1,745,745,0.8566805362921847,100.50345431255356,0.7002780561709545,3.389540484539291,2,-11.811335153480984,12.072182814251153,3.937121641797159,71.27816117162844,-36.467157216659714,-35.38297755848685,False
1682526600000,1,750,750,0.842733857296966,100.51754375026529,0.7003762271653825,3.355893903892222,2,-11.96752538109358,3.78109944609184,12.042821574935747,59.46306071613172,-38.66571751503179,-33.98605193220439,False
1682533200000,-1,860,860,0.16782246879334678,101.20411688178766,0.705160063713592,3.2084775497994795,2,-11.839122833158244,-11.800224305517082,-39.31892048668839,-65.90919637028404,18.31780478928291,-37.88331020278424,False
1682534100000,-1,875,875,0.17928802588996695,101.19237490737923,0.7050782491424353,3.093009521503328,2,1.1603615805211298,-10.680135018965586,-41.28822171399315,-47.57888342498462,20.575315064383926,-36.82628961993784,False
1682534400000,-1,880,880,0.10625674217907846,101.26721349505446,0.7055997020722103,3.479594300813736,2,-15.58944339921875,-14.873753466094763,-39.09559681760211,-53.10454757944672,10.370174659803943,-43.398673756880335,False
1682534700000,-1,885,885,0.04946833102172939,101.32548379639422,0.706005712130609,3.416777095192857,2,-25.403304719182618,-19.518007754372178,-41.230806600007774,-61.995034345172506,5.0436324959513,-47.11814568587158,False
1682535000000,-1,890,890,0.07990445369086722,101.29424510850235,0.7057880502822289,3.658057162688042,2,-10.056859697605836,-8.89766507644607,-20.68738993759367,-52.95647514993451,0.2965927965881132,-44.988444198288406,False
1682535300000,-1,895,895,0.01586812509628328,101.3915446699575,0.7064660045697522,3.1027585574576975,2,-9.184120071172863,-24.759245938389405,-25.054555593650996,-56.6755319582668,-8.919206902873178,-53.944800418685986,False
1682535600000,-1,900,900,0.06906839710599119,104.6867444187174,0.7294259723692706,3.1922242334185182,2,-1.1320846933626783,-26.53251354330255,-26.48435800702842,-53.133200607773375,-47.25622266145146,-52.57371896555618,False
