fecha,tod,dir,bp,pos
2016-09-22,160,1,15.425815813070853,0.8209619127052078
2016-09-22,240,1,10.005450199399979,0.8763968845242085
2016-09-23,145,-1,3.8408673545468734,0.19024683925333682
2016-09-23,225,-1,3.1913752120986243,0.02712078208764985
2016-09-26,125,1,-13.391113047634562,0.8707897793264306
2016-09-26,205,-1,22.994922403224827,0.017304284374040444
2016-09-27,130,-1,1.888610499747712,-0.0662690523527918
2016-09-27,210,-1,9.662983995868801,0.06590795397699317
2016-09-28,135,-1,-27.73014656539634,0.049500000000080036
2016-09-28,215,1,-0.8453201266851892,0.9158472012102877
2016-09-29,125,1,-13.109911784648531,0.9166048925131566
2016-09-29,210,1,-9.384985605372531,0.8492392807745986
2016-09-30,130,1,-22.342444776835713,1.0986187845303816
2016-09-30,225,1,12.717897491965457,0.8567058663584977
2016-10-03,125,1,-7.462553961459939,0.8270013568519945
2016-10-03,235,1,-2.8469977819085996,0.8486447589350257
2016-10-04,140,1,13.099293343479657,0.81848484848481
2016-10-04,220,1,-1.3852190514736402,0.9476731562567224
2016-10-05,140,-1,-12.581860330864325,0.09608030592734818
2016-10-05,220,1,-6.949550453328612,0.9543839352119912
2016-10-06,125,-1,-12.223755312436735,0.11280101394165891
2016-10-06,250,-1,2.5849705910700576,0.17869586859141284
2016-10-07,130,-1,6.796492403702681,0.16454025516928003
2016-10-07,255,1,4.532112553273082,0.8206603773585118
2016-10-10,125,1,1.85647042895627,0.9725199230556855
2016-10-10,225,-1,-9.801518122407193,0.1505791505791446
2016-10-11,130,-1,-2.8492055836988768,0.1185328185327304
2016-10-11,245,1,-11.085571982818054,0.9309689677010302
2016-10-12,135,1,-22.61845813455414,1.0219951121973285
2016-10-12,215,-1,-5.945010424121699,0.07039297977871009
2016-10-13,125,1,-9.966620803118653,0.9829310344827316
2016-10-13,215,-1,-4.338881102836245,0.19613627712216705
2016-10-14,150,-1,-3.381605929208708,0.07770632368702195
2016-10-14,255,1,20.473197511122045,0.847184103633779
2016-10-17,125,1,-17.627466361401375,0.9096725630411111
